Train: 25578 samples

word_count: Human=119.02674307545368 AI=101.31033895418157
avg_word_len: Human=5.235922347008214 AI=5.4644515646191625
sentence_count: Human=4.267430754536772 AI=5.822645205246125
ttr: Human=0.8131812707642426 AI=0.7923527355474439
multiple_elongations: Human=0.0 AI=0.0006387327542156362
periods: Human=3.1838586437440304 AI=4.808891159938682
verbs: Human=23.906876790830946 AI=22.746252767841934
dual_words: Human=2.1380133715377267 AI=1.8646312382898995
entity_diversity: Human=0.8382555637175582 AI=0.7938515849857393
